budget,genres,homepage,id,keywords,original_language,original_title,overview,popularity,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,vote_average,vote_count
0,"Adventure, Family, Comedy, Drama",,1153110,,en,Bookworm,"Eleven-year-old Mildred’s life is turned upside down when her mother lands in hospital and estranged, American magician father, Strawn Wise, comes to look after her.  Hoping to entertain the bookish tween, Strawn takes Mildred camping in the notoriously rugged New Zealand wilderness, and the pair embark on the ultimate test of family bonding – a quest to find the mythological beast known as the Canterbury Panther.",18.185,"Firefly Films, Nowhere",NZ,2024-07-04,0,103,en,Released,Adventure called her name... Unfortunately dad answered.,Bookworm,6.8,37
0,"Drama, Romance",,534171,softcore,ko,동창회의 목적 2,"I am a teacher! And you are a student! During school days, the first girl Daebeom fell in love with was a practice teacher. He hit on her daringly but she did nothing but treat him like a child. Grown up Daebeom always wants to see her again and one day he heard news that she will attend this alumni reunion. Daebeom decides to seduce her at the reunion. I should sleep with her!",35.86,,KR,2017-08-31,0,92,ko,Released,,Purpose of Reunion 2,5.2,14
0,Drama,https://www.lionsgatefilms.co.uk/releases/smallthingslikethese,1102493,"small town, husband wife relationship, based on novel or book, choir, flashback, ireland, barbershop, catholicism, coal, merchant, christmas, abuse, 1980s, complicity, convent, magdalene asylum",en,Small Things Like These,"In 1985, while working as a coal merchant to support his family, Bill Furlong discovers disturbing secrets kept by the local convent and uncovers truths of his own; forcing him to confront his past and the complicit silence of a small Irish town controlled by the Catholic Church.",34.227,"Artists Equity, Big Things Films, Wilder Content, Fís Éireann/Screen Ireland","BE, IE, US",2024-11-01,10604490,99,en,Released,,Small Things Like These,6.9,171
2900000,"Horror, Drama",https://a24films.com/films/climax,507076,"dancing, child abuse, sexual abuse, drug abuse, pregnancy, paranoia, orgy, imprisonment, lsd, surrealism, hallucinogenic drug, incest, drug overdose, disco, lgbt, spiked drink, psychological disintegration, acid, club music, punch bowl, distressing",fr,Climax,"When a dance troupe is lured to an empty school, a bowl of drug-laced sangria causes their jubilant rehearsal to descend into a dark and explosive nightmare as they try to survive the night—and find who's responsible—before it's too late.",26.049,"Rectangle Productions, Wild Bunch, Les Cinémas de la Zone, Eskwad, KNM, Vice Studios, ARTE France Cinéma, Artémis Productions, VOO & Be tv, Shelter Prod","BE, FR, US",2018-09-19,1700000,97,"en, fr",Released,Birth and death are extraordinary experiences. Life is a fleeting pleasure.,Climax,7.065,2122
90000000,"Animation, Comedy, Family, Mystery",https://www.scoob.movie/,385103,"friendship, superhero, villain, heroism, talking dog, prequel, friends, based on cartoon, criminal investigation, boy and dog, caveman, fright, bitter",en,Scoob!,"In Scooby-Doo’s greatest adventure yet, see the never-before told story of how lifelong friends Scooby and Shaggy first met and how they joined forces with young detectives Fred, Velma, and Daphne to form the famous Mystery Inc. Now, with hundreds of cases solved, Scooby and the gang face their biggest, toughest mystery ever: an evil plot to unleash the ghost dog Cerberus upon the world. As they race to stop this global “dogpocalypse,” the gang discovers that Scooby has a secret legacy and an epic destiny greater than anyone ever imagined.",20.552,"Warner Bros. Pictures Animation, Warner Bros. Pictures, Atlas Entertainment, 1492 Pictures","CA, US",2020-07-08,28600000,93,en,Released,Mystery loves company.,Scoob!,7.0,1721
1000000,"Horror, Thriller, Fantasy",,9003,"based on novel or book, sexual obsession, pain, ritual, supernatural, haunted house, seduction, gore, surrealism, undead, stepmother, revenge, human sacrifice, body double, demon, puzzle box, attic, occult, bdsm, cenobite, sexual awakening, return from dead, reanimated corpse, sexual pleasure, hiding in attic, psycho-sexual, body snatcher, horrified, wicked uncle, sexual adventure",en,Hellraiser,"Hedonist Frank Cotton finds a mysterious puzzle box that summons the Cenobites, who open the doors to a dominion where pain and pleasure are indivisible.",25.042,"New World Pictures, Cinemarque Entertainment, Film Futures, Rivdel Films","GB, US",1987-09-11,14575193,94,en,Released,He'll tear your soul apart.,Hellraiser,6.9,2595
66000000,"Fantasy, Action",,1487,"nazi, sacrifice, superhero, paranormal phenomena, black magic, adoptive father, based on comic, steampunk, narration from grave, apocalypse, demon, supernatural creature, monolith, occult, super strength, father figure, reanimated corpse, duringcreditsstinger, other dimension, psychic powers, pyrokinesis",en,Hellboy,"In the final days of World War II, the Nazis attempt to use black magic to aid their dying cause. The Allies raid the camp where the ceremony is taking place, but not before they summon a baby demon who is rescued by Allied forces and dubbed ""Hellboy"". Sixty years later, Hellboy serves the cause of good rather than evil as an agent in the Bureau of Paranormal Research & Defense, along with Abe Sapien - a merman with psychic powers, and Liz Sherman - a woman with pyrokinesis, protecting America against dark forces.",30.267,"Columbia Pictures, Revolution Studios, Dark Horse Entertainment, Lawrence Gordon Productions, Starlite Films, Partnership Films","CZ, US",2004-04-02,99318987,122,"ru, en",Released,From the dark side to our side.,Hellboy,6.67,6930
0,"Horror, Thriller",,595801,"short film, other side of the box",en,Other Side of the Box,A couple receives a mysterious package from an old friend.,22.166,Trollaxx Productions,US,2018-10-31,0,15,en,Released,,Other Side of the Box,6.7,79
5400000,"Drama, Western",,1712,"hotel, petrol, jealousy, judge, funeral, texas, wine cellar, ranch, senator, restaurant, sexism, rags to riches, beef, tycoon, maryland, barbecue (bbq), birthday party, turkey, pony, riding class, hunting",en,Giant,"Wealthy rancher Bick Benedict and dirt-poor cowboy Jett Rink both woo Leslie Lynnton, a beautiful young woman from Maryland who is new to Texas. She marries Benedict, but she is shocked by the racial bigotry of the White Texans against the local people of Mexican descent. Rink discovers oil on a small plot of land, and while he uses his vast, new wealth to buy all the land surrounding the Benedict ranch, the Benedict's disagreement over prejudice fuels conflict that runs across generations.",18.789,"Warner Bros. Pictures, George Stevens Jr. Productions",US,1956-11-08,32855818,201,"es, en",Released,Sometimes any man can be a giant . . .,Giant,7.606,700
50000000,"Drama, Science Fiction, Thriller",,1272,"space marine, saving the world, bomb, sun, space suit, sunlight, grave, space travel, space mission, earth, solar energy, expiration, dreary, introspective, grand, 2050s, suspenseful, sinister, ambiguous, audacious, awestruck, baffled, bewildered, foreboding, frightened",en,Sunshine,"Fifty years into the future, the sun is dying, and Earth is threatened by arctic temperatures. A team of astronauts is sent to revive the Sun — but the mission fails. Seven years later, a new team is sent to finish the mission as mankind’s last hope.",22.04,"Ingenious Media, Moving Picture Company, UK Film Council, DNA Films",GB,2007-04-05,34800000,107,en,Released,Just look out for a little extra brightness in the sky.,Sunshine,7.0,3844
